ID_Explotacion,Provincia,Actividad,Superficie_Hectareas,Edad_Productor,Nivel_Tecnificacion,Produccion_Toneladas,Costo_Produccion,Precio_Venta_Tonelada,Ingresos,Cantidad_Empleados,Uso_Riego,Rentabilidad_Porcentaje,Indice_Sustentabilidad,outlier_rentabilidad
1,Córdoba,Ganaderia,340.5,26,Medio,395.7,151467,310,122667,5,No,-23.4,48.4,False
2,Chaco,Trigo,39.1,65,Alto,99.2,36976,399,39580,0,Sí,5.9,65.7,False
3,Mendoza,Ganaderia,136.6,54,Medio,150.8,57030,674,101639,8,No,79.2,47.1,False
4,Córdoba,Soja,350.6,40,Alto,496.7,128032,261,129638,9,No,6.0,64.9,False
5,Córdoba,Soja,-5.0,36,Bajo,307.1,83282,448,137580,6,Sí,67.7,75.9,False
6,Mendoza,Ganaderia,145.1,54,Alto,175.0,54259,531,92925,2,No,67.8,63.2,False
7,Buenos aires,Soja,5.0,65,Medio,10.0,3755,307,3070,0,No,-22.1,46.4,False
8,Buenos aires,Maiz,222.4,41,Bajo,177.0,34280,431,76287,6,No,120.5,62.8,False
9,La pampa,Fruticultura,206.3,38,Bajo,207.9,65667,472,98128,5,Sí,46.3,55.7,False
10,Mendoza,Soja,76.0,53,Alto,188.3,48528,772,145367,0,Si,201.1,50.9,False
11,Santa fe,Trigo,39.8,44,Medio,50.7,18759,721,36554,0,Sí,96.5,59.3,False
12,La pampa,Lecheria,5.0,73,Medio,10.0,1949,746,7460,0,No,284.4,53.0,False
13,Salta,Soja,202.8,56,Bajo,184.2,29644,366,67417,4,No,128.9,49.9,False
14,Córdoba,Lecheria,91.4,41,Alto,171.9,43718,734,126174,5,No,192.6,60.2,False
15,Entre ríos,Lecheria,92.5,59,Bajo,79.6,25072,683,54366,3,No,114.2,46.8,False
16,Córdoba,Lecheria,343.1,36,Bajo,293.2,47027,745,218434,6,Sí,364.9,62.1,False
17,Santa fe,Ganaderia,293.0,50,Medio,385.5,144294,466,179643,9,No,26.4,58.3,False
18,Chaco,Fruticultura,298.5,41,Medio,329.9,39698,286,94351,4,No,139.6,38.7,False
19,Córdoba,Trigo,396.0,53,Medio,564.2,155004,585,330057,9,Sí,109.7,73.9,False
20,Mendoza,Fruticultura,71.8,30,Medio,70.1,24253,538,37713,7,Sí,55.6,53.2,False
